word,Handwritten (Deluxe),word,Illuminate (Deluxe),word,Nine Track Mind (Deluxe),word,Shawn Mendes,word,Voicenotes
mean,0.0650907027043762,would,0.08627639533404748,beautiful,0.06432218352320984,around,0.08444779251860551,ha,0.0761503171985168
baby,0.0650907027043762,bad,0.08494225732005779,dangerously,0.06422142077174796,tell,0.08444779251860551,slow,0.07470466807156995
hard,0.06297607986547438,begging,0.08332970067350415,hang,0.06422142077174796,hard,0.08410737753375774,ta,0.07359644299794382
summer,0.06297607986547438,treat,0.08332970067350415,never,0.061203702197423285,today,0.08410737753375774,go,0.07359644299794382
one,0.06199114543273923,mind,0.0808841206256695,away,0.05780349651978865,mine,0.08378006529999368,want,0.06950775172028027
say,0.06199114543273923,better,0.07753277398662935,yeah,0.05780349651978865,nothin,0.0833991412378543,cause,0.06950775172028027
never,0.06199114543273923,move,0.07691972369861921,trouble,0.057346445283680936,tonight,0.07948027531162871,real,0.06922756108956073
needing,0.05854292081719134,holding,0.07691972369861921,dawn,0.05708570735266485,oh,0.07948027531162871,empty,0.06922756108956073
stitch,0.05854292081719134,reputation,0.07656999165311414,judge,0.05708570735266485,go,0.07948027531162871,either,0.06864462207899866
happening,0.05854292081719134,inch,0.07656999165311414,could,0.05440329084215403,feel,0.07635163480819629,huh,0.06864462207899866
seem,0.056632154746292955,understand,0.07549184591729154,game,0.051813437907698885,say,0.07451275810465192,shady,0.06864462207899866
want,0.055792030889465306,get,0.07297202257565115,say,0.0510030851645194,ugly,0.07297424858312251,knew,0.06767806971319837
alone,0.055792030889465306,even,0.07297202257565115,girl,0.0510030851645194,put,0.07047843213064273,maybe,0.06541906044261672
maybe,0.055792030889465306,light,0.07050974672373428,lose,0.04824163764240738,bit,0.06981672108332808,believe,0.06321164221440534
grow,0.05248006655456198,stop,0.07050974672373428,doe,0.04778870440306745,every,0.06954524089767512,somebody,0.06284392187654134
coming,0.05227583515042426,feel,0.07009957120891358,let,0.047602879486884776,soul,0.0672859020270062,noticed,0.06230480498060465
make,0.04959291634619138,nothing,0.07009957120891358,gon,0.04422150117220677,help,0.06460522945308918,could,0.06133036916495318
need,0.04959291634619138,crazy,0.06841127116467295,call,0.04422150117220677,lost,0.06460522945308918,leave,0.06133036916495318
hold,0.04764075392405985,ruin,0.06699874269647486,want,0.04420267380925015,wa,0.06457772369069834,gettin,0.06006404431912382
heart,0.04649335907455442,happiness,0.06699874269647486,used,0.0430098339627607,break,0.06457772369069834,young,0.06006404431912382
kiss,0.04649335907455442,patience,0.06699874269647486,instagram,0.042814280514498634,wake,0.06283504897499527,cry,0.057465129285823036
little,0.04649335907455442,though,0.06470729650053561,mon,0.042814280514498634,conscious,0.06254935592839073,say,0.057241677887289635
thread,0.04553338285781548,hurt,0.06385051975369475,model,0.042814280514498634,self,0.06254935592839073,honestly,0.05317562620322729
needle,0.04553338285781548,one,0.06385051975369475,wearing,0.042814280514498634,number,0.06254935592839073,hate,0.05317562620322729
close,0.04397608054528602,empty,0.06177618714186022,step,0.042814280514498634,one,0.059610206483721534,party,0.05171861635724073
keep,0.04397608054528602,going,0.05928976834271656,almost,0.042814280514498634,leave,0.059610206483721534,wanted,0.05171861635724073
alright,0.04356319595868689,every,0.05928976834271656,way,0.04080246813161552,obsessed,0.058875164273630425,believed,0.05148346655924899
life,0.040311407166512186,fool,0.05768979277396441,take,0.04080246813161552,morning,0.05585337686666246,dare,0.05148346655924899
gon,0.040311407166512186,ta,0.054729016931738365,said,0.04080246813161552,right,0.05464268927674474,never,0.04906429533196254
though,0.040311407166512186,back,0.054729016931738365,known,0.04029934059487691,walk,0.05464268927674474,take,0.04906429533196254
would,0.040311407166512186,really,0.054729016931738365,would,0.04020136470200616,look,0.05464268927674474,tryna,0.04845929276269251
without,0.0392068763628182,said,0.054729016931738365,crime,0.03823096352245396,thinking,0.05285882409798205,attention,0.04845929276269251
bring,0.03902861387812756,ever,0.054729016931738365,every,0.03740226245398089,stressed,0.052124463273658946,body,0.04597210342865843
feeling,0.03719468725964354,saying,0.05392274708377968,superman,0.03567856709541553,hell,0.050464426520254645,change,0.044975604054299
break,0.03719468725964354,night,0.05016826552076017,dry,0.03567856709541553,taste,0.050464426520254645,90,0.042902888799374164
ever,0.03719468725964354,word,0.04853047237540171,thousand,0.03567856709541553,falling,0.050464426520254645,beside,0.042902888799374164
falling,0.036736046588193384,grow,0.046332140356395164,shame,0.03567856709541553,plan,0.050464426520254645,runnin,0.04153653665373644
eye,0.03664673378773835,tearing,0.046332140356395164,reeling,0.03567856709541553,see,0.049675172069767945,already,0.04153653665373644
name,0.03664673378773835,tryna,0.046332140356395164,look,0.03400205677634627,way,0.049675172069767945,thing,0.040886912776635455
trying,0.03664673378773835,never,0.04560751410978197,come,0.03400205677634627,need,0.049675172069767945,long,0.040886912776635455
running,0.034850556766949516,right,0.04560751410978197,going,0.03400205677634627,love,0.049675172069767945,gon,0.03867318269325621
party,0.034850556766949516,losing,0.04486983882419455,night,0.03400205677634627,seem,0.04887170475832966,world,0.03867318269325621
hand,0.034095129988006574,easy,0.04486983882419455,give,0.03400205677634627,found,0.04887170475832966,make,0.03679822149897191
much,0.034095129988006574,gon,0.04313819766702374,thing,0.03400205677634627,babe,0.04698562142042849,room,0.03679822149897191
come,0.034095129988006574,three,0.04313819766702374,song,0.033452093082147215,hate,0.04698562142042849,tomorrow,0.03461378054478036
sometimes,0.032982060408964516,start,0.04313819766702374,different,0.03216109176160492,making,0.04698562142042849,work,0.03461378054478036
aftertaste,0.03252384489843964,life,0.04313819766702374,find,0.03216109176160492,much,0.04470765486279115,feelin,0.03461378054478036
memory,0.03252384489843964,always,0.04104676269880377,crazy,0.030601851098711642,place,0.04470765486279115,supposed,0.03461378054478036
imagination,0.03252384489843964,give,0.04104676269880377,go,0.030601851098711642,year,0.04205368876687887,trust,0.03447907757149382
craving,0.03148803993273719,much,0.04104676269880377,always,0.030601851098711642,nervous,0.04205368876687887,karma,0.03432231103949933
