word,Charlie Puth,word,Shawn Mendes
suffocating,0,bout,1
spent,0,insecure,1
seem,0,innocent,1
weight,0,inconsistency,1
seems,0,impressed,1
sunrise,0,breakfast,1
self-conscious,0,breaking,1
weeks,0,ignore,1
softly,0,idea,1
stand,0,bright,1
willing,0,brother,1
safety,0,hypnotized,1
staring,0,burning,1
safe,0,bust,1
worse,0,hurricane,1
sad,0,hopin,1
worst,0,hopes,1
worth,0,hopeless,1
street,0,cares,1
stars,0,carry,1
sacrifice,0,history,1
wrapped,0,connected,1
write,0,friend,1
years,0,friday,1
yell,0,eye,1
ruler,0,expect,1
started,0,exactly,1
youth,0,everywhere,1
ruin,0,daybreak,1
stress,0,dear,1
worried,0,decide,1
win,0,deeper,1
stressed,0,defense,1
scrolling,0,easily,1
strings,0,easier,1
wind,0,ease,1
stringing,0,dumb,1
window,0,drunk,1
scary,0,drop,1
spinning,0,drinks,1
spoken,0,drink,1
says,0,dressed,1
winter,0,dream,1
string,0,drawn,1
stained,0,done,1
stakes,0,deny,1
woke,0,describe,1
standards,0,discovering,1
word,0,dirty,1
worked,0,devastation,1
wasted,0,expecting,1
sheets,0,dances,1
surfacing,0,forward,1
truce,0,d-d-does,1
town,0,convince,1
six,0,cooler,1
trapped,0,follow,1
stomp,0,flying,1
soul,0,floor,1
tripping,0,flipped,1
sister,0,flight,1
troubled,0,flew,1
sinking,0,fit,1
sore,0,corner,1
testify,0,fingers,1
turning,0,filled,1
turns,0,fill,1
sound,0,cost,1
twelve,0,figure,1
twice,0,feelin,1
sounds,0,favorite,1
singin,0,fault,1
thinkin,0,couch,1
skin,0,fast,1
settle,0,cozy,1
tired,0,crash,1
thunder,0,crowd,1
tightrope,0,fair,1
timeline,0,fact,1
sneak,0,kanye,1
someday,0,café,1
somehow,0,adrenaline,1
threw,0,lean,1
smell,0,answers,1
small,0,midnight,1
sky,0,lightin,1
slowly,0,already,1
thread,0,bathroom,1
thoughts,0,minute,1
thinks,0,minutes,1
slipping,0,lie,1
sleeping,0,beating,1
slam,0,miss,1
touched,0,missing,1
sow,0,behind,1
typical,0,loved,1
ugly,0,letting,1
specific,0,admit,1
shoes,0,adelaide,1
tearing,0,acting,1
shining,0,anthem,1
tear,0,medal,1
waited,0,barely,1
waitin,0,lonely,1
shine,0,lotto,1
tie,0,askin,1
shawn,0,looks,1
testified,0,lookin,1
taste,0,lower,1
talking,0,awake,1
waking,0,lured,1
walked,0,awkward,1
shaking,0,may,1
walls,0,mad,1
sweet,0,apartment,1
surprised,0,makes,1
telling,0,anyway,1
shot,0,anyone,1
shoulder,0,line,1
wah,0,anxious,1
underneath,0,learning,1
space,0,asked,1
upon,0,negative,1
sincere,0,next,1
since,0,names,1
simply,0,kils,1
simple,0,25,1
tension,0,killing,1
sign,0,muse,1
sight,0,a.m,1
sides,0,moves,1
use,0,knowing,1
spare,0,moth,1
vibe,0,bitter,1
speak,0,blinds,1
shut,0,lay,1
shoulders,0,kicked,1
stitches,0,blocks,1
loud,0,must,1
rose,0,movies,1
cozy,0,moving,1
discovering,0,kissed,1
drawn,0,laughin,1
dream,0,tempting,0
dreaming,0,anywhere,0
dreams,0,coping,0
dressed,0,studs,0
drinks,0,cop,0
drownin,0,temporary,0
ease,0,actin,0
easier,0,stroll,0
erase,0,wishlist,0
eternity,0,apologies,0
everyday,0,terrified,0
everywhere,0,young,0
excited,0,apologize,0
expecting,0,detonate-detonator,0
eye,0,thank,0
fact,0,theirselves,0
falling,0,considered,0
disappointment,0,winnings,0
dirty,0,'em,0
devastation,0,ashamed,0
dark,0,diamond,0
cross,0,deleted,0
crowd,0,sucker,0
crowned,0,wondered,0
curse,0,daily,0
cut,0,suns,0
d-d-does,0,accusations,0
dad,0,superman,0
dances,0,dawn,0
darkness,0,darkest,0
deserves,0,written,0
daybreak,0,adding,0
dead,0,surface,0
dear,0,acapella,0
decide,0,dare,0
decisions,0,dangerously,0
deep,0,sutra,0
deeper,0,worry,0
defense,0,a-ooh-ooh-ooh,0
familiar,0,'round,0
fan,0,afternoon,0
fast,0,almost,0
grow,0,cups,0
gentleman,0,crying,0
gently,0,cruel,0
getcha,0,creepin,0
getting,0,suffer,0
gladly,0,23,0
gorgeous,0,answered,0
grabbing,0,television,0
grew,0,wrapping,0
guessing,0,yesterday,0
friday,0,subtle,0
hair,0,view,0
happening,0,comes,0
happens,0,confront,0
happier,0,stressing,0
happiness,0,bucks,0
happy,0,burn,0
hard,0,wall,0
harm,0,birthday,0
friendship,0,buy,0
forgive,0,bye,0
favorite,0,c'mon,0
fix,0,wander,0
feels,0,callin,0
figure,0,brokenhearted,0
fill,0,car,0
filled,0,biggest,0
finally,0,bigger,0
fine,0,cash,0
fingers,0,casino,0
fit,0,traveling,0
flame,0,cause,0
follow,0,bet,0
flew,0,brothers,0
flight,0,blame,0
flipped,0,beside,0
floor,0,boulevard,0
fly,0,born,0
flying,0,bother,0
focus,0,bottle,0
fog,0,bottles,0
crawling,0,bought,0
country,0,bone,0
headed,0,upstairs,0
couch,0,waist,0
askin,0,unraveling,0
asleep,0,blinded,0
astrid,0,boy,0
attached,0,blues,0
awake,0,uncomfortable,0
awkward,0,boyfriend,0
bad,0,blue,0
barely,0,blow,0
bathroom,0,waiting,0
bear,0,brain,0
beating,0,war,0
begging,0,champagne,0
belong,0,attention,0
best,0,throw,0
big,0,tiffany,0
bit,0,tied,0
bitter,0,awoken,0
bleed,0,whoa,0
blinds,0,tickets,0
asked,0,coast,0
argue,0,throwing,0
appear,0,throwin,0
adrenaline,0,throttle,0
'less,0,tight,0
'til,0,throne,0
25,0,thrill,0
a.m,0,voice,0
aching,0,competition,0
across,0,thousand,0
acting,0,completely,0
adelaide,0,complicated,0
aftertaste,0,complied,0
apartment,0,ay,0
ah-ah,0,bank,0
ahead,0,believed,0
alive,0,water,0
answers,0,tower,0
anthem,0,tough,0
anyone,0,chance,0
anything,0,changed,0
anytime,0,top,0
blocks,0,cheated,0
blood,0,checking,0
bones,0,beg,0
confessing,0,battery,0
chest,0,climbing,0
chill,0,choking,0
clap,0,christ,0
clear,0,city,0
club,0,weak,0
comfortable,0,wear,0
complete,0,class,0
conceited,0,wearing,0
confession,0,weather,0
chase,0,stride,0
connected,0,nicole,0
consequences,0,differently,0
consuming,0,dipping,0
control,0,king,0
conversations,0,knee,0
cooler,0,provoking,0
corner,0,prove,0
cost,0,proud,0
cheers,0,knock,0
cents,0,promoting,0
bout,0,promised,0
brother,0,la,0
breakfast,0,problems,0
breaking,0,lawn,0
breaks,0,price,0
breath,0,lead,0
bring,0,least,0
bringing,0,leather,0
brings,0,leaving,0
broken,0,legs,0
brush,0,pouring,0
ceiling,0,posted,0
burning,0,liar,0
burnt,0,posse,0
bust,0,posing,0
café,0,popular,0
calling,0,kilimanjaro,0
came,0,key,0
cares,0,kept,0
caving,0,immature,0
he-ey,0,remains,0
headlines,0,relationships,0
ropes,0,reject,0
moves,0,hurting,0
outta,0,regrets,0
over-complicate,0,reeling,0
overwhelmed,0,i'ma,0
pack,0,red-eye,0
pain,0,recklessness,0
paint,0,ignored,0
paradise,0,insane,0
particular,0,karma,0
pass,0,real,0
past,0,reaching,0
patience,0,rather,0
people,0,rate,0
perfectly,0,instagram,0
permanent,0,jet,0
person,0,judge,0
pickin,0,quick,0
picture,0,kama,0
piece,0,karaoke,0
places,0,pointless,0
