word,Handwritten (Deluxe),word,Illuminate (Deluxe),word,Nine Track Mind (Deluxe),word,Shawn Mendes,word,Voicenotes
dreams,3,motions,3,arms,2,hours,2,dirt,2
bones,3,open,3,days,2,ever,2,call,2
please,3,babe,3,ten,2,erase,2,staying,2
smile,3,broken,3,hope,2,nights,2,parted,2
onto,3,deep,2,second,2,drownin,2,ground,2
tripping,3,supposed,2,riding,2,nobody,2,look,2
black,3,sure,2,thinking,2,open,2,guy,2
stand,3,mistakes,2,still,2,paradise,2,whole,2
heavy,3,waste,2,old,2,disappointment,2,many,2
best,3,weight,2,describe,2,'less,2,swear,2
tearing,3,belong,2,honestly,2,phone,2,ever,2
better,3,slam,2,harder,2,strong,2,man,2
pretty,3,train,2,thing,2,middle,2,faster,2
turns,3,days,2,home,2,staring,2,surface,2
bleed,3,probably,2,somebody,2,lips,2,least,2
mistakes,3,minds,2,hit,2,always,2,beg,2
dying,2,living,2,smoking,2,live,2,warning,2
sleeping,2,shoulders,2,million,2,happy,2,something,2
sneak,2,pulls,2,high,2,hear,2,name,2
end,2,place,2,show,2,lose,2,phone,2
eternity,2,guessing,2,ever,2,wrapped,2,clothes,2
give,2,show,2,act,2,sky,2,else,2
sun,2,lot,2,inside,2,afraid,2,needed,2
mine,2,beautiful,2,easy,2,heard,2,break,2
standing,2,god,2,far,2,less,2,mmh,2
god,2,regret,2,remains,2,gets,2,wants,2
met,2,door,2,whoa,2,lying,2,hold,2
ground,2,stumbled,2,start,2,room,2,chance,2
quit,2,around,2,drunk,2,matter,2,rumors,2
strong,2,sinking,2,obsessed,2,song,2,convince,2
felt,2,end,2,drive,2,laying,2,rhythm,2
raise,2,look,2,popular,2,word,2,run,2
talk,2,lately,2,us,2,hey,2,would,2
feet,2,story,2,smile,2,sounds,2,admit,2
forgive,2,come,2,lost,2,medicine,2,head,2
door,2,far,2,couple,2,specific,2,minute,2
sound,2,afraid,2,choking,2,laugh,2,insecure,2
punched,2,home,2,longer,2,forever,2,hide,2
else,2,meant,2,spell,2,mercy,2,mmm-mmm,2
put,2,rest,2,light,2,first,2,harder,2
darling,2,dark,2,tied,2,quite,2,took,2
underneath,2,closer,2,gone,2,mhm,2,anxious,2
hole,2,tired,2,rush,2,meant,2,seriously,2
arms,2,near,2,little,2,gone,2,signs,2
kinda,2,mess,2,gave,2,breathe,2,list,1
light,2,body,2,chance,2,bed,2,wasting,1
change,2,pride,2,line,2,crawling,2,adding,1
shoulders,2,cry,2,life,2,times,2,watch,1
astrid,2,over-complicate,2,front,2,compared,2,legs,1
win,2,worse,2,sorry,2,curse,2,somewhere,1
typical,2,thing,2,till,2,brush,2,bigger,1
shining,2,hotel,2,giving,2,took,2,afternoon,1
house,2,naked,2,wondered,2,argue,2,afraid,1
nobody,2,room,2,completely,2,arms,2,first,1
shine,2,lure,2,lonely,2,wish,2,seen,1
wonder,2,walk,2,followers,2,tomorrow,2,really,1
calling,2,people,2,turn,2,broken,2,blame,1
call,2,took,2,room,2,caught,2,birthday,1
seams,2,feet,2,road,2,together,2,quit,1
searching,2,hundred,2,ai,2,call,2,accusations,1
burnt,2,taste,2,pile,2,tried,2,lived,1
darkness,2,talking,2,awoken,2,conceited,1,standing,1
noticed,2,power,2,lovin,2,zone,1,family,1
bit,2,left,1,leave,2,instrumental,1,23,1
wasting,2,reassure,1,opened,2,asked,1,war,1
waste,2,soul,1,next,1,pull,1,immature,1
walk,2,weeks,1,notice,1,across,1,yet,1
seen,2,figure,1,new,1,give,1,a-ooh-ooh-ooh,1
side,2,flying,1,niggas,1,anxious,1,father,1
asleep,2,songs,1,hey,1,seems,1,fault,1
hmm,2,situation,1,hold,1,askin,1,saying,1
till,2,slowly,1,quick,1,answers,1,scared,1
dance,2,somebody,1,plane,1,insecure,1,hurt,1
damn,2,learning,1,pick,1,going,1,question,1
hanging,2,follow,1,nobody,1,try,1,lock,1
wrong,2,flipped,1,spine,1,innocent,1,fell,1
known,2,smile,1,mountain,1,push,1,felt,1
alive,2,something,1,highlights,1,recognize,1,fight,1
work,2,small,1,ski,1,slowly,1,involved,1
looking,2,best,1,ho,1,inconsistency,1,wrapping,1
sad,2,last,1,hitting,1,getcha,1,happened,1
anything,2,slip,1,planned,1,tired,1,separate,1
hey,2,behind,1,size,1,words,1,alone,1
another,2,perfect,1,sleep,1,connected,1,kind,1
touched,2,negative,1,grown,1,kanye,1,goes,1
longer,2,bit,1,heat,1,losing,1,looked,1
secrets,1,fine,1,pictures,1,usually,1,wish,1
space,1,late,1,rather,1,blinds,1,ask,1
late,1,softly,1,green,1,blocks,1,nyc,1
sow,1,pray,1,songs,1,timeline,1,shy,1
spend,1,awkward,1,reaching,1,joke,1,parents,1
fool,1,anyone,1,gray,1,muse,1,situation,1
second,1,remind,1,somewhere,1,forward,1,sisters,1
laugh,1,wondering,1,nowhere,1,lot,1,apologize,1
intertwined,1,heartbreak,1,goodbye,1,ceiling,1,greyhound,1
seeing,1,kid,1,sometimes,1,friend,1,growing,1
stained,1,keeping,1,real,1,friends,1,kiss,1
lay,1,already,1,rate,1,friendship,1,single,1
safe,1,help,1,hand,1,movies,1,apart,1
focus,1,hesitation,1,hands,1,cooler,1,relationships,1
knife,1,nowadays,1,pointless,1,convince,1,wondering,1
friends,1,seems,1,hanging,1,control,1,remember,1
spent,1,seem,1,hearts,1,seeing,1,alright,1
lies,1,secrets,1,good,1,game,1,babe,1
spinning,1,second,1,someone,1,mouth,1,found,1
less,1,world,1,place,1,interested,1,help,1
reap,1,worst,1,hate,1,question,1,leaving,1
room,1,scared,1,neither,1,wants,1,pay,1
friday,1,adelaide,1,god,1,acting,1,anymore,1
killing,1,across,1,put,1,questioning,1,serve,1
reason,1,ya,1,must,1,rain,1,fucking,1
kills,1,running,1,hear,1,sight,1,recklessness,1
ropes,1,ignore,1,rain,1,worried,1,bed,1
sore,1,head,1,heard,1,wait,1,slip,1
listen,1,anytime,1,glad,1,asleep,1,ah,1
red,1,sincere,1,queen,1,rainbows,1,road,1
inside,1,kills,1,pushing,1,side,1,sleep,1
goes,1,given,1,holdin,1,breakfast,1,well,1
sides,1,simply,1,share,1,show,1,gets,1
hit,1,whole,1,red,1,history,1,kept,1
higher,1,simple,1,lead,1,shake,1,key,1
high,1,wild,1,rough,1,breath,1,battery,1
long,1,win,1,saw,1,truth,1,whoa,1
smell,1,gorgeous,1,magic,1,mad,1,share,1
singin,1,sign,1,legs,1,truce,1,wild,1
goodbye,1,sight,1,saying,1,adrenaline,1,notice,1
regret,1,part,1,leather,1,admit,1,feelings,1
hear,1,feeling,1,mask,1,makes,1,insane,1
