0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
"('light', 0.39939365985416064)","('inch', 0.39839612605286245)","('na', 0.32060033864669574)","('move', 0.2789641224346476)","('lost', 0.2688168807411059)","('darling', 0.2688168807411059)","('see', 0.21148098064926718)","('til', 0.19919806302643123)","('night', 0.19582049269713936)","('love', 0.1899982461599877)","('every', 0.18079960323214772)","('get', 0.16805798676325243)","('way', 0.1568810795045096)","('long', 0.1394820612173238)","('gone', 0.11856833147948172)","('hold', 0.1124041209933134)","('keep', 0.09215824943710779)","('beautiful', 0.0798639663867647)","('girl', 0.050005965482210986)","('vibe', 0.04979951575660781)"
"('trying', 0.6004917747802709)","('honest', 0.5411170689007245)","('oh', 0.19319054549935116)","('deserve', 0.190664740573159)","('hate', 0.1550237108694094)","('swear', 0.15160394202413327)","('hurt', 0.14564889379797902)","('promise', 0.13772259890323788)","('need', 0.13750983011778675)","('give', 0.13417504500562702)","('probably', 0.10846547660273913)","('regret', 0.0953323702865795)","('sorry', 0.09064496175086431)","('felt', 0.08668181430349374)","('cry', 0.08668181430349374)","('baby', 0.08374165146191018)","('got', 0.08247197863703384)","('hey', 0.0775118554347047)","('na', 0.06378260347070756)","('said', 0.06240011396709832)"
"('patience', 0.46053277016278577)","('losing', 0.3915030433713534)","('driving', 0.27964503097953813)","('say', 0.2780421506751344)","('willing', 0.2631615829501633)","('morning', 0.22371602478363048)","('wake', 0.1918694592445707)","('crazy', 0.18103113556320605)","('yeah', 0.1440340613890415)","('alone', 0.13812212192222392)","('love', 0.13691326783246346)","('first', 0.13317576006656756)","('lure', 0.13158079147508164)","('tell', 0.1295352493332827)","('make', 0.12417271485913423)","('cause', 0.12345776690489273)","('always', 0.11431792580852841)","('taste', 0.11185801239181524)","('give', 0.1113732456580052)","('mind', 0.10128395197345653)"
"('bad', 0.49262504976090193)","('nobody', 0.29384676932468307)","('reputation', 0.2937083412616591)","('lady', 0.25754870467567026)","('know', 0.2355514235425936)","('trust', 0.21894446656040084)","('underneath', 0.20651667772937404)","('treat', 0.20651667772937404)","('said', 0.20276424766866813)","('got', 0.2009896413518792)","('let', 0.17873093799527845)","('care', 0.1679124396141046)","('way', 0.15212692658994162)","('see', 0.12152427991014077)","('need', 0.11915395866351897)","('weight', 0.11748333650466365)","('could', 0.11259413344610242)","('shoulder', 0.10947223328020042)","('one', 0.09356069945028965)","('say', 0.0907039633835657)"
"('understand', 0.5528530857018676)","('really', 0.24499548206488705)","('praying', 0.24170712043316608)","('na', 0.23773246317856284)","('turning', 0.18128034032487456)","('forget', 0.16309133025841)","('ta', 0.16231148113827612)","('changing', 0.14536051994005603)","('need', 0.13978113514995064)","('sometimes', 0.1382132714254669)","('yeah', 0.1322915671518516)","('old', 0.13217035890984272)","('ask', 0.13217035890984272)","('lost', 0.12231849769380748)","('someone', 0.11818822477230777)","('else', 0.11445193843836907)","('time', 0.11328984559718498)","('train', 0.11025704439547679)","('belong', 0.11025704439547679)","('got', 0.10479275174429813)"
"('hold', 0.5671573394490275)","('much', 0.2644037661548142)","('shawn', 0.2292415520691659)","('dad', 0.2292415520691659)","('ahead', 0.2292415520691659)","('ta', 0.22498055072908654)","('matter', 0.19157793216660757)","('alright', 0.19157793216660757)","('slow', 0.17594611754846085)","('stay', 0.1638211401466685)","('everything', 0.1638211401466685)","('going', 0.1539143122640492)","('minute', 0.15282770137944396)","('life', 0.14956502223973966)","('got', 0.1452536249100181)","('seen', 0.12771862144440504)","('know', 0.1225664292067204)","('lately', 0.1172974116989739)","('always', 0.09702547242508242)","('say', 0.08849390034155179)"
"('let', 0.38971739843973263)","('die', 0.29837611239746775)","('rose', 0.28078857606727475)","('worried', 0.25616885792781274)","('flame', 0.25616885792781274)","('fire', 0.2251516812977126)","('many', 0.21408117177851213)","('honest', 0.19661320376867356)","('trying', 0.1772767899964018)","('might', 0.1772767899964018)","('wrong', 0.17199348562921152)","('grow', 0.16886376097328445)","('start', 0.1671333167450467)","('feel', 0.1592838754735623)","('heart', 0.1563070382446826)","('crazy', 0.15452551761937297)","('face', 0.14209609022928754)","('tell', 0.13821173213454893)","('got', 0.12173661864706642)","('know', 0.11984297422709243)"
"('party', 0.41378756886914464)","('sorry', 0.3442617492917416)","('life', 0.30716043697459244)","('people', 0.2741803335554953)","('care', 0.2523285804374221)","('scary', 0.1935142482405153)","('ordinary', 0.1935142482405153)","('tonight', 0.180669536034772)","('shot', 0.17654679780367885)","('time', 0.16930947377210503)","('telling', 0.16450820013329717)","('best', 0.16450820013329717)","('cause', 0.16139361433281652)","('baby', 0.15902178600997444)","('mistake', 0.15517033832592925)","('come', 0.13861220338394603)","('might', 0.12217585639390846)","('break', 0.11518516386547217)","('say', 0.11358699000712459)","('love', 0.11186480860809711)"
"('stitch', 0.40011449703488666)","('needing', 0.40011449703488666)","('thread', 0.3112001643604674)","('needle', 0.3112001643604674)","('without', 0.2593075286762269)","('kiss', 0.24903765036199668)","('knee', 0.15117374526491842)","('falling', 0.15117374526491842)","('head', 0.14034089012774392)","('begging', 0.13558161655610598)","('wind', 0.13337149901162887)","('tripping', 0.13337149901162887)","('bleed', 0.13337149901162887)","('aching', 0.13337149901162887)","('breathe', 0.12965376433811346)","('shaking', 0.12167740248001954)","('onto', 0.12167740248001954)","('dead', 0.12167740248001954)","('watch', 0.10694458321719535)","('gon', 0.09786390509707826)"
"('alone', 0.6081278597821287)","('never', 0.5082235911130881)","('piece', 0.26738192815698536)","('apart', 0.20385956328412294)","('longer', 0.16262514219975616)","('make', 0.12616408349318395)","('heart', 0.11907515000997032)","('talk', 0.11621556376323953)","('stay', 0.11621556376323953)","('hey', 0.11621556376323953)","('little', 0.1091876088457411)","('hold', 0.10058608719167211)","('take', 0.09713285201817543)","('thing', 0.09355813227417366)","('safe', 0.08912730938566178)","('may', 0.08912730938566178)","('lay', 0.08912730938566178)","('need', 0.08246884216873356)","('let', 0.08246884216873356)","('keep', 0.08246884216873356)"
